Character,Reading,Examples
弼,bật,"弼焒 bật lửa
弼畑 bật đèn
[翻]"
匏,bầu,"匏𡗶 bầu trời
彈匏 đàn bầu
固匏 có bầu
匏欲 bầu dục
匏苾 bầu bí
匏空氣 bầu không khí"
𠾦,be,𠾦𠾦 be be
𣛥,be,"𣛥𨢇 be rượu
𣛥𦩰 be xuồng"
𡮣,bé,"𡮣𡮈 bé nhỏ
𡮣𤊡 bé bỏng
[異]𡮤"
佊,bè,"佊伴 bè bạn
佊黨 bè đảng"
𤿤,bè,"艚𤿤 tầu bè
船𤿤 thuyền bè
𤿤𥫭 bè nứa"
𠶎,bê,𠶎𦁀 bê bối
閉,BẾ,"封閉 phong bế
閉關 bế quan
閉幕 bế mạc"
嬖,bế,"捧嬖 bồng bế
嬖㛪 bế em"
陛,BỆ,"陛下 bệ hạ
陛衛 bệ vệ
堂陛 đường bệ
下陛 hạ bệ
陛𨷯 bệ cửa
陛平 bệ bằng
[翻]"
䏶,bệ,"䏶𫄈 bệ rạc
䏶䐭 bệ sệ"
𠷊,bèn,"應意、𠷊𧷸𬆄 ưng ý, bèn mua ngay
[異]卞𠂪"
𤅶,bến,"𤅶渃 bến nước
𤅶艔 bến đò
𤅶港 bến cảng
[異]𡔖()"
𥾽,bền,"𥾽凭 bền vững
𥾽比 bền bỉ
[翻]"
𦛼,bênh,"𦛼掝 bênh vực
乏𦛼 bấp bênh
㑲𦛼𦛼 nằm bênh bênh"
病,BỆNH,"病疾 bệnh tật
病感 bệnh cảm
病院 bệnh viện
病人 bệnh nhân"
病,bịnh,⇔病bệnh
脿,béo,脿𦡡 béo ngậy
𠰏,bép,𠰏㴙 bép xép
𠰏,bom,"𠰏彈 bom đạn
[翻]"
𤇮,bếp,"茹𤇮 nhà bếp
𤇮焒 bếp lửa
刀𤇮 dao bếp
[翻]"
啤,bi,"筆啤 bút bi
[翻]"
悲,BI,"悲劇 bi kịch
悲哀 bi ai
悲慘 bi thảm
悲觀 bi quan
愁悲 sầu bi
悲切 bi thiết"
碑,BI,"碑記 bi kí
碑文 bi văn"
碑,bia,"碑墓 bia mộ
𢏑碑 bắn bia"
比,BỈ,"渃比 nước Bỉ
𥾽比 bền bỉ"
比,TỈ,"比對 tỉ đối
比例 tỉ lệ
比喻 tỉ dụ
比如 tỉ như
比丘 tỉ khưu"
比,TÌ,比丘 tì kheo
比,TỊ,推比 suy tị
比,bì,"分比 phân bì
𬧺比 so bì
推比 suy bì"
鄙,BỈ,粗鄙 thô bỉ
秘,BÍ,"秘傳 bí truyền
秘密 bí mật
秘訣 bí quyết
秘書 bí thư
秘名 bí danh
秘𡌀 bí bết"
被,BÍ,植物被子 thực vật bí tử
被,BỊ,"𠀧被 ba bị
被動 bị động
被告 bị cáo"
皮,BÌ,"封皮 phong bì
包皮 bao bì
陳皮 trần bì
下皮 hạ bì"
皮,bề,"皮𩈘 bề mặt
皮外 bề ngoài
坌皮 bộn bề"
備,BỊ,"準備 chuẩn bị
設備 thiết bị"
𣖾,bị,𠹌抇𬘋𣖾 năng nhặt chặt bị
𨡕,bia,𨢇𨡕 rượu bia
碧,BÍCH,"玉碧 ngọc bích
[翻]"
碧,biếc,"青碧 xanh biếc
𦬩碧 lộc biếc"
礔,bịch,"礔𦙏 bịch ngực
𠐔礔 lố bịch
砰礔 bình bịch
𬦮礔𠬠丐 nhảy bịch một cái"
編,BIÊN,"正編 chính biên
編撰 biên soạn"
邊,BIÊN,"邊界 biên giới
邊防 biên phòng
邊疆 biên cương
()"
邊,bên,"邊𥪝 bên trong
邊𨑗 bên trên
邊沛 bên phải"
邊,ven,"邊瀧 ven sông
邊㴜 ven biển"
匾,BIỂN,"匾號 biển hiệu
匾數 biển số
匾廣告 biển quảng cáo"
㴜,biển,"㴜𪥘󠄁 biển cả
𩈘㴜 mặt biển
坡㴜 bờ biển
[異]𤅶"
遍,BIẾN,普遍 phổ biến
變,BIẾN,"變𠅒 biến mất
應變 ứng biến
變化 biến hoá
政變 chính biến
()"
辨,BIỆN,辨別 biện biệt
辦,BIỆN,"辦法 biện pháp
辦𨢇 biện rượu"
辯,BIỆN,"辯論 biện luận
雄辯 hùng biện
辯白 biện bạch
辯駁 biện bác"
怲,biếng,𢜞怲 lười biếng
別,BIỆT,"𠫾別 đi biệt
別離 biệt li
別吣 biệt tăm
駢別 biền biệt
別墅 biệt thự"
別,biết,"別讀 biết đọc
別條 biết điều
曉別 hiểu biết"
表,BIỂU,"代表 đại biểu
表現 biểu hiện
表圖 biểu đồ
時課表 thời khoá biểu"
表,bẻo,"表𣱾 bẻo lẻo
棹表 chèo bẻo"
俵,BIẾU,"敬俵 kính biếu
俵釧 biếu xén"
兵,BINH,"兵士 binh sĩ
憲兵 hiến binh
兵𪜯 binh lính"
秉,bỉnh,嗙秉 bướng bỉnh
平,BÌNH,"平安 bình an
平原 bình nguyên
不平 bất bình
平等 bình đẳng
和平 hoà bình
[翻]"
平,bằng,"平僥 bằng nhau
垌平 đồng bằng
公平 công bằng
平𢚸 bằng lòng
𠬠共𠬠平𠄩 một cộng một bằng hai"
屏,BÌNH,𬌓屏風 tấm bình phong
瓶,BÌNH,"瓶渃 bình nước
瓶𨢇 bình rượu"
評,BÌNH,"評論 bình luận
評品 bình phẩm"
𧦟,bịp,"驢𧦟 lừa bịp
𧦟姂 bịp bợm"
𧦟,mớp,縸𧦟 mắc mớp
蔽,bít,"𭇛蔽 bưng bít
蔽膝 bít tất
[翻]"
莂,bịt,"莂𦖻 bịt tai
莂𩈘 bịt mặt
莂𤿰 bịt trống
𪖫箭莂鉄 mũi tên bịt sắt"
褓,bịu,"𠬠褓裙襖 một bịu quần áo
泮褓 bận bịu"
𠬃,bỏ,"恄𠬃 ghét bỏ
𠬃過 bỏ qua
辭𠬃 từ bỏ
𨑥𠬃 vứt bỏ
[異]補"
抪,bó,"繃抪 băng bó
[異]𥿠咘"
𤙭,bò,"𤙭𡣨 bò cái
𤙭㴜 bò biển
裙𤙭 quần bò
餅𤙭 bánh bò"
𨁏,bò,"𧋻𨁏 rắn bò
𨁏𨑜𡐙 bò dưới đất
[異]𨆶"
𧌂,bọ,螻𧌂 sâu bọ
俌,bô,俌老 bô lão
𥮉,bô,䈵𥮉 ống bô (pô)
捕,bổ,"捕檜 bổ củi
捕洆 bổ chửng"
補,BỔ,"補充 bổ sung
修補 tu bổ
補血 bổ huyết
補語 bổ ngữ"
補,bù,"搷補 đền bù
補㙮 bù đắp"
布,BỐ,"布告 bố cáo
布置 bố trí
頒布 ban bố
布局 bố cục
分布 phân bố"
菩,BỒ,"菩薩 bồ tát
菩提 bồ đề"
𪁭,bồ,"𪁭鳩 bồ câu
𪁭𪇌 bồ nông
𡨸𥱬㗂輔𠓀𥪝詞（只得使用𥪝𠸜𧵑各類𪀄）Chữghitiếngphụtrướctrongtừ(chỉđượcsửdụngtrongtêncủacácloàichim)"
步,BỘ,"𠫾步 đi bộ
百步 bách bộ
同步 đồng bộ
塘步 đường bộ
步兵 bộ binh
𪜯水打步 lính thuỷ đánh bộ"
步,bộ,步𠏭𠎩𧡊𢥇𡗋咍哰丕？ Bộ tụi bây thấy chán lắm hay sao vậy?
部,BỘ,"部分 bộ phận
幹部 cán bộ
部樣 bộ dạng
𫜵部 làm bộ
全部 toàn bộ
部裙襖 bộ quần áo"
部,bậu,"部𨷯 bậu cửa
部𠫾共戈 bậu đi cùng qua"
𠴙,bở,"𧃷𠴙 khoai bở
想𠴙 tưởng bở
𫼻𠴙 vớ bở"
坡,bờ,"坡㴜 bờ biển
坡𬏇 bờ ruộng
坡梨俱 Bờ-lây-cu (Pleiku)"
𭢨,bợ,"暫𭢨 tạm bợ
佞𭢨 nịnh bợ"
剝,bóc,"剝蛻 bóc lột
剝𤿭 bóc vỏ"
襆,bọc,"包襆 bao bọc
𦅰襆 đùm bọc"
扑,bốc,"扑籤 bốc thăm
扑𫇿 bốc thuốc"
僕,BỘC,奴僕 nô bộc
爆,BỘC,爆發 bộc phát
𧴤,bói,䀡𧴤 xem bói
𫽗,bôi,"𫽗渘 bôi nhọ
𫽗駁 bôi bác"
貝,BỐI,寶貝 bảo bối
貝,với,"對貝 đối với
𠫾貝埃 đi với ai"
背,BỐI,背景 bối cảnh
背,BỘI,"背約 bội ước
背薄 bội bạc
背恩 bội ơn"
𦁀,bối,"𦁀𦇒 bối rối
𠶎𦁀 bê bối"
輩,BỐI,"前輩 tiền bối
後輩 hậu bối
長輩 trưởng bối"
培,BỒI,"培養 bồi dưỡng
培補 bồi bổ
培㙮 bồi đắp
紙培 giấy bồi"
徘,BỒI,"徘徊 bồi hồi
徘盤 bồi bàn"
賠,BỒI,"賠償 bồi thường
賠還 bồi hoàn"
佩,BỘI,"佩服 bội phục
玉佩 ngọc bội"
佩,bội,喝佩 hát bội
倍,BỘI,"倍數 bội số
扱倍 gấp bội
[翻]"
𬈺,bơi,"𣘊𬈺 đồ bơi
𬈺過瀧 bơi qua sông
[翻]"
𤳸,bởi,"𤳸爲 bởi vì
𤳸在 bởi tại
[異]𤳷()"
捭,bới,"捭𢪮 bới móc
掏捭 đào bới"
𢱎,bời,"𦇒𢱎 rối bời
𨔈𢱎 chơi bời"
姂,bợm,"𧦟姂 bịp bợm
姂𫅷 bợm già
姂𠻼 bợm nhậu"
𨁼,bon,𨁼𢫔 bon chen
𢫆,bón,"𢫆糞 bón phân
[翻]"
𡇐,bọn,"結𡇐 kết bọn
𡇐𠋥 bọn mày"
𦊚,bốn,"𦊚方 bốn phương
茹𦊚層 nhà bốn tầng"
盆,BỒN,"盆栽 bồn tài
盆地 bồn địa
蘿搽盆 lá chà bồn
臨盆 lâm bồn
瀧秋盆 sông Thu Bồn
盆𤶐 bồn chồn"
𤊡,bỏng,"被𤊡 bị bỏng
𤊡吳 bỏng ngô"
𤊡,phỏng,⇔𤊡bỏng
𡞗,bóng,"僮𡞗 đồng bóng
[異]俸"
𣈖,bóng,"𨅸𣈖 đứng bóng
𤏬𣈖 sáng bóng
𣈖𪵅 bóng lộn
𣈖𣘃 bóng cây
𣈖𠖾 bóng mát
[異]䏾"
葻,bông,"葻花 bông hoa
𧜖葻 chăn bông
𤠰葻 gấu bông
[異]芃"
俸,BỔNG,"糧俸 lương bổng
學俸 học bổng"
𩗴,bổng,"𢒎𩗴 bay bổng
𢩮𩗴 nhấc bổng"
唪,bỗng,"唪𡎺 bỗng chốc
唪然 bỗng nhiên
𦰟畑唪𤎕 ngọn đèn bỗng tắt
[異]俸"
𢯒,bóp,𢯒𭡽 bóp thắng
渤,bọt,"渃渤 nước bọt
䕯渤 bèo bọt
渤㳥 bọt sóng"
𥩾,bốt,𥩾擱 bốt gác
勃,BỘT,"勃麪 bột mì
勃𦭷青 bột màu xanh
蓬勃 bồng bột
勃發 bột phát
勃起 bột khởi
[翻]"
抔,bớt,"減抔 giảm bớt
添抔 thêm bớt
咹抔 ăn bớt
抔稅 bớt thuế"
䈻,bu,丐䈻抵𡳝𪃿 cái bu để rốt gà
咘,bú,"咘𣼺 bú mớm
[翻]"
耚,bừa,"𦓿耚 cày bừa
耚𡓁 bừa bãi"
𩛷,bữa,"𩛷咹 bữa ăn
𩛷席 bữa tiệc"
逼,BỨC,"逼供 bức cung
逼迫 bức bách"
幅,BỨC,"幅幀 bức tranh
幅墻 bức tường"
煏,bức,𤎏煏 nóng bức
輻,BỨC,輻射 bức xạ
愊,bực,"𢞂愊 buồn bực
愊𨂔 bực dọc"
裴,BÙI,𣱆裴 họ Bùi
裴,bùi,裴𦖻 bùi tai
𡏧,bụi,"𡏧𠁀 bụi đời
𡏧𠹰 bụi bặm"
𦹷,bụi,"𦹷葚 bụi rậm
𣘃𦹷 cây bụi
[翻]"
䮇,buýt,車䮇 xe buýt
湓,bùn,"𡐙湓 đất bùn
湓浰 bùn lầy
[翻]"
熢,bùng,"熢砮 bùng nổ
熢發 bùng phát"
䏾,bụng,"䏾胣 bụng dạ
𩟡䏾 đói bụng"
𭇛,bưng,"𭇛蔽 bưng bít
[異]𢬄"
𤇊,bừng,"𧹻𤇊 đỏ bừng
熷𤇊 tưng bừng"
𫃚,buộc,"抪𫃚 bó buộc
繓𫃚 trói buộc
扒𫃚 bắt buộc
[異]纀𦂿𥾾"
𨀈,bước,"𨀈𠫾 bước đi
𨀈𬧐 bước tới
拮𨀈 cất bước"
𣇜,buổi,"𣇜𣋁 buổi tối
𣇜𤏬 buổi sáng"
帆,buồm,𦑃帆 cánh buồm
