Character,Reading,Examples
掯,khựng,"𤗆役調掯徠 mọi việc đều khựng lại
當𠫾唪掯徠 đang đi bỗng khựng lại"
羌,KHƯƠNG,𠊛羌 người Khương
姜,KHƯƠNG,𣱆姜 họ Khương
𢓋,khưỡng,吃𢓋 khật khưỡng
肐,khướt,醝肐 say khướt
嗅,KHỨU,"嗅覺 khứu giác
嗅官 khứu quan"
騾,la,𡥵騾 con la
囉,LA,嘍囉 lâu la
囉,la,"囉𡓃 la lối
囉𠻵 la mắng
囉鵶 la ó"
鑼,LA,鐋鑼 thanh la
𪫦,lả,"殀𪫦 ẻo lả
𪫦𪭥 lả tả"
𪡉,lã,渃𪡉 nước lã
𥋷,lác,𥋷眜 lác mắt
櫟,lác,𦹯櫟 cỏ lác
鴼,lạc,𪀄鴼 chim lạc
釛,lắc,𬌓釛 tấm lắc
肋,LẶC,雞肋 kê lặc
肋,lặc,肋嚟 lặc lè
勒,LẶC,"彌勒 Di Lặc
縣玉勒 Huyện Ngọc Lặc"
勒,lắc,"得勒 Đắk Lắk (Đắc Lắc)
𡨸尼得讀如格發音尼只𥪝名詞𥢆尼。Chữnàyđượcđọcnhưcáchphátâmnàychỉtrongdanhtừriêngnày."
𥷒,lách,𦰤𥷒 lau lách
𫇀,lách,蘿𫇀 lá lách
𤃝,lạch,𤃝瀧 lạch sông
𤃝,rịch,濁𤃝 rục rịch
棶,lai,"𣘃棶 cây lai
()"
賚,lãi,"利賚 lời lãi
賚率 lãi suất"
𧕬,lãi,"𡥵𧕬 con lãi
()"
攭,lảy,𠊝攭 thay lảy
𠸨,láy,"𠸨眜 láy mắt
詞𠸨 từ láy"
𠸨,lay,"𠸨𠸨 lay láy
⇔𠸨láy"
𪭼,lẩy,"𪭼𤔻𢬣 lẩy móng tay
憞𪭼㔥 run lẩy bẩy"
浰,lầy,"湓浰 bùn lầy
蹉浰 sa lầy
浰洡 lầy lội"
𢹿,lẫy,"𠀧𣎃別𢹿 ba tháng biết lẫy
𢯒𢹿 bóp lẫy
()"
婪,LAM,貪婪 tham lam
嵐,LAM,嵐瘴 lam chướng
糮,lam,𩚵糮 cơm lam
淋,LÂM,淋漓 lâm li
霖,lâm,霖𩂐 lâm dâm
壈,lấm,"壈湓 lấm bùn
壈濂 lấm lem"
凜,lẫm,凜冽 lẫm liệt
廩,lẫm,廩𥟉 lẫm thóc
𨈇,lẫm,"𨓐𨈇 lạ lẫm
𨈇𧿒 lẫm chẫm"
爛,LẠN,燦爛 xán lạn
𤶾,lằn,"浽𤶾 nổi lằn
𤶾檑 lằn roi"
䗲,lằn,蜄䗲 thằn lằn
僯,lân,"𦤾僯 đến lân
割僯僥擱 cắt lân nhau gác"
撛,lân,"消撛𠓨𲂪 tiêu lân vào vốn
合撛𨖅𣇜𣊿 họp lân sang buổi chiều"
麟,LÂN,"麒麟 kì lân
[翻]"
𫉱,lang,"𫉱𤶒󠄁 lang ben
𡥵𤙭𫉱 con bò lang"
踉,lảng,踉踉 lang lảng
踉,lang,"踉踉 lang lảng
⇔踉lảng"
啢,lạng,啢楛 lạng gỗ
鯪,lăng,𩵜鯪 cá lăng
㖫,lằng,㖫嚷 lằng nhằng
㖫,rưng,"𢜠㖫渃眜 mừng rưng nướcmắt
㖫㖫渃眜 rưng rưng nước mắt"
䗀,lằng,𧋆䗀 ruồi lằng
𬕨,lẵng,𬕨花 lẵng hoa
欞,lanh,𣘃欞 cây lanh
𪽏,lảnh,𪽏𪽏 lanh lảnh
𪽏,lanh,"𪽏𪽏 lanh lảnh
⇔𪽏lảnh"
𪸝,lánh,𬊊𪸝 lóng lánh
𪸝,nhánh,𬊊𪸝 nhóng nhánh
嶗,lao,岣嶗 cù lao
癆,LAO,"病癆 bệnh lao
()"
㧯,lảo,"㧯倒 lảo đảo
傠㧯 thảo lảo"
澇,LẠO,水澇 thuỷ lạo
澇,lạo,"澇䛒 lạo xạo
磟澇 lục lạo
𪵅澇 lộn lạo"
啦,láp,"𦧷啦 liếm láp
吶噃啦 nói bá láp"
粒,LẠP,粒體 lạp thể
蠟,LẠP,白蠟 bạch lạp
蠟,sáp,"粉蠟 phấn sáp
蠟螉 sáp ong"
𬅀,lát,楛𬅀 gỗ lát
𥶁,lạt,"𧵑𠊛菩薩、𧵑𨉟𥶁𫃚 của người Bồ tát, của mình lạt buộc"
搮,lắt,"搮嘹 lắt léo
搮𣱾 lắt lẻo
搮摛 lắt lay
㨋搮𧴱 trả lắt nợ"
㗚,lất,"秩㗚 trật lất
[翻]"
㗚,rật,𠻤㗚 rần rật
嗍,láu,"嗍𰈼 láu lỉnh
嗹嗍 liến láu"
嗍,lau,"嗍嗍 lau láu
⇔嗍láu"
恅,làu,"恅恅 làu làu
恅垉 làu bàu"
瘺,lậu,病瘺 bệnh lậu
𠻗,le,"雙𠻗 song le
惏𠻗 lăm le"
𠻗,nhe,惏𠻗 nhăm nhe
𪅆,le,𪀄𪅆𪅆 chim le le
嚟,lè,"嚟𦧜 lè lưỡi
嚟𪷗 lè tè
青嚟 xanh lè"
藜,LÊ,藿藜 hoắc lê
𣠲,lể,"計𣠲 kể lể
𣠲荄 lể gai
()"
荔,LỆ,"荔枝 lệ chi
薜荔 bệ lệ"
勵,LỆ,"激勵 khích lệ
()"
隸,LỆ,"隸屬 lệ thuộc
奴隸 nô lệ"
𨘸,lếch,𨘸逖 lếch thếch
𩽏,lệch,𩵜𩽏 cá lệch
𩽏,lịch,
𩽏,nhệch,
濂,lem,"濂溽 lem luốc
濂濂 lem nhem"
濂,nhem,"𤆹濂 nhá nhem
濂溽 nhem nhuốc
濂濂 lem nhem
𤷳濂 nhom nhem
⇔濂lem"
𡄥,lẻm,𡄥𡄥 lem lẻm
𡄥,lem,
蘝,lém,蘝𰈼 lém lỉnh
蘝,lem,"蘝蘝 lem lém
⇔蘝lém"
歛,lẹm,"歛肣 lẹm cằm
銫歛 sắc lẹm"
縺,len,"襖縺 áo len
[翻]"
𨇍,lẻn,"拮𨇍 cất lẻn
𨇍圇 lẻn tròn"
𨇍,lén,𨇍𨇍 len lén
𨇍,len,"𨇍𨇍 len lén
⇔𨇍lén"
𢤠,lẽn,惼𢤠 bẽn lẽn
鈴,leng,"鈴鏗 leng keng
鈴鋲 leng beng"
𩻻,leo,𩵜𩻻 cá leo
𣱾,lẻo,"挵𣱾 lỏng lẻo
𣱾𣱾 leo lẻo
𠼽𣱾 mách lẻo
搮𣱾 lắt lẻo
㓭𣱾 hớt lẻo
𣱾𠵐 lẻo mép"
𣱾,leo,"𣱾𣱾 leo lẻo
⇔𣱾lẻo"
膫,lèo,渃膫 nước lèo
瞭,lẹo,"瞭眜 lẹo mắt
荎瞭 chuối lẹo
𧐖瞭 lươn lẹo"
𥼕,lép,"𥼕鋏 lép kẹp
[翻]"
𥉬,lét,"蹽𥉬 leo lét
[翻]"
𥉬,len,"𥉬𥉬 len lét
⇔𥉬lét"
哷,lẹt,𤋸哷 khét lẹt
𨀺,lết,𠠍𨀺 lê lết
咧,lệt,"咧𡋾 lệt bệt
咧𣻂 lệt sệt"
𡃔,lêu,"𡃔！ lêu!
𡃔𭍌 lêu lổng
被各伴𡃔爲𥄬洏 bị các bạn lêu vì ngủ nhè"
漓,LI,淋漓 lâm li
罹,LI,罹難 li nạn
唎,lì,"唎呾 lì lợm
𡍚唎 lầm lì
𥗁唎 trơ lì
塝唎 phẳng lì"
痢,LỊ,"病痢 bệnh lị
𤵹痢 kiết lị"
攡,lia,"捿攡 thia lia
攡攡 lia lịa
攡𤗖𡊳𬺗坳 lia mảnh sành xuống ao"
攡,lịa,攡攡 lia lịa
𥆁,liếc,"𥆁䀡 liếc xem
𥆁眜 liếc mắt
𥆁刀 liếc dao"
鐮,LIÊM,鉤鐮 câu liêm
鐮,liềm,"𦧜鐮 lưỡi liềm
伓𦹯憑鐮 bứt cỏ bằng liềm"
𦧷,liếm,"𦧷啦 liếm láp
𦧷𠵐 liếm mép"
殮,LIỆM,"衾殮 khâm liệm
殮𠊛 liệm người
入殮 nhập liệm"
殮,lịm,𡴯殮 ngất lịm
嗹,liến,"嗹𠶤 liến thoắng
嗹嗍 liến láu
嗹𤠲 liến khỉ
僶𡮣嗹 thằng bé liến"
璉,LIỄN,"璉𩚵 liễn cơm
璉𡊳 liễn sành"
𩙳,liệng,"𢒎𩙳 bay liệng
𩙳𥒥 liệng đá
𦑃燕𩙳𤥑 cánh én liệng vòng"
䉭,liếp,䉭攝 liếp nhiếp
𩷈,liệt,𩵜𩷈 cá liệt
𬏩,liệt,"痺𬏩 tê liệt
敗𬏩 bại liệt"
寥,LIÊU,寂寥 tịch liêu
了,LIỄU,結了 kết liễu
蛉,LINH,螟蛉 minh linh
𰈼,lỉnh,"嗍𰈼 láu lỉnh
蘝𰈼 lém lỉnh
𰈼𠎠 lỉnh kỉnh"
𥘃,lình,𥓉𥘃 thình lình
𡊻,lít,"𡊻𱎰 lít nhít
[翻]"
𥌧,ló,"垃𥌧 lấp ló
𥌧樣 ló dạng
𥌧眜𫥨 ló mắt ra"
𡀔,lọ,𡀔𱺵 lọ là
倮,lô,𠊛倮倮 người Lô Lô
瀂,lổ,"𰺽瀂 loang lổ
𥘷𡥵於瀂 trẻ con ở lổ"
魯,LỖ,粗魯 thô lỗ
賂,LỘ,賄賂 hối lộ
路,LỘ,"國路 quốc lộ
路程 lộ trình
路面 lộ diện"
路,lồ,孔路 khổng lồ
路,trộ,瞪路 trừng trộ
𡋿,lở,"𥒮𡋿 vỡ lở
𡐙𡋿 đất lở"
籚,lờ,"抯籚 thả lờ
()"
𠐳,lợ,"𠐳𠐳 lờ lợ
榘茄𡳝尼𠐳 củ cà-rốt này lợ
()"
𠐳,lờ,"𠐳𠐳 lờ lợ
⇔𠐳lợ"
螺,LOA,"噲螺 gọi loa
丐螺 cái loa"
𤆷,loá,"𤆷眜 loá mắt
熶𤆷 chói loá"
夥,loã,同夥 đồng loã
𤁖,loã,"𤁖𧖱 loã máu
𤁖渃 loã nước"
𠯿,loạc,𠯿𠺷 loạc choạc
𠯿,lóc,𠯿唂 lóc cóc
欒,LOAN,"團欒 đoàn loan
()"
灣,LOAN,"臺灣 Đài Loan
()"
彎,loăn,彎𩭵 loăn xoăn
𰺽,loang,"𰺽𫥨 loang ra
𤵖油𰺽 vết dầu loang
𡲫染被𰺽 vải nhuộm bị loang"
𬂆,loảng,𬂆鏯 loảng soảng
灤,loáng,灤𤶜 loáng choáng
𠌇,loàng,𠌇侊 loàng xoàng
𣿅,loãng,"𢯠𣿅 pha loãng
𥺊𣿅 cháo loãng
𣿅𩩫 loãng xương"
𣿅,lỏng,𣿅𣿅 long lỏng
𣿅,long,"𣿅𣿅 long lỏng
⇔𣿅lỏng"
𨃹,loạng,𨃹𫏈 loạng choạng
啷,loằng,啷弘 loằng ngoằng
𨗺,loanh,𨗺𨒺 loanh quanh
唰,loạt,唰咄 loạt xoạt
傈,loắt,傈㑁 loắt choắt
䱚,lóc,𩵜䱚 cá lóc
𫼚,lóc,"𫼚𬚸 lóc thịt
蹸𫼚 lăn lóc"
椂,lốc,"穭椂 lúa lốc
椂谷 lốc cốc
𠬠椂𣷱 một lốc sữa"
𪋖,lốc,𩂀𪋖 cơn lốc
𦬩,lộc,"𦬩碧 lộc biếc
𠛌䒹䄧𦬩 đâm chồi nẩy lộc"
𭊛,lộc,𭊛侷 lộc cộc
傫,loe,傫𤷯 loe loét
𤑬,loé,"垃𤑬 lấp loé
𣈢𩅀𤑬𬨠 tia chớp loé lên"
𤍶,loè,"𤇥𤍶 lập loè
伮咹面炳包抵𤍶天下 nó ăn diện bảnh bao để lòe thiên hạ"
𤍶,nhoè,"㲸𤍶 ướt nhoè
被𤍶𫥨 bị nhoè ra
⇔𤍶loè"
𤷯,loét,"𡋿𤷯 lở loét
被𤷯𫥨 bị loét ra
𤺯𡋿𤷯𫰅 mụn lở loét to"
𩁦,loi,𥛭𩁦 lẻ loi
𣢹,lỏi,"𠬃𣢹 bỏ lỏi
卒𣢹 tốt lỏi"
𤑭,lói,𠻗𤑭 le lói
𤑭,trui,"𤓢𤑭 nướng trui
格𤑭 cách trui
𨨧𤑭 thép trui"
𤞖,lòi,𤞼𤞖 lợn lòi
䋘,lòi,"䋘𫥨 lòi ra
䋘綷 lòi tói"
𣑳,lõi,骨𣑳 cốt lõi
𥑶,lọi,"熶𥑶 chói lọi
磟𥑶 lục lọi
𥑶蹎 lọi chân"
𪆼,lôi,𪃿𪆼 gà lôi
𡋃,lồi,"𡋃𡔑 lồi lõm
𡋃眜 lồi mắt"
蕾,LỘI,"花蕾 hoa lội
[翻]"
𩭷,lơi,"𪫦𩭷 lả lơi
捹𩭷紀律 buông lơi kỉ luật
()"
𭇶,lới,𬔽𭇶 mánh lới
𪘌,lợi,𪘵𪘌 răng lợi
𦡶,lom,𦡶𢐎 lom khom
𦡶,lum,"𦡶𢐎 lum khum
⇔𦡶lom"
𦗝,lỏm,"𦖑𦗝 nghe lỏm
學𦗝 học lỏm"
𦗝,lóm,
㘕,lòm,"𧹻㘕 đỏ lòm
𣞻䣷㘕 bưởi chua lòm"
㘕,lờm,㘕𬇁 lờm xờm
𡔑,lõm,"𡋃𡔑 lồi lõm
𡔑渀 lõm bõm
𡔑𠓨 lõm vào"
𤒢,lốm,"𤒢玷 lốm đốm
[翻]"
礷,lộm,礷𥖜 lộm cộm
𡾭,lởm,𡾭𡹟 lởm chởm
呾,lợm,"呾𠰩 lợm giọng
唎呾 lì lợm"
錀,lon,錀錫 lon thiếc
𫐮,lỏn,"𫐮𠓨 lỏn vào
𫐮𫥨 lỏn ra"
崙,lôn,崑崙 Côn Lôn
侖,lổn,侖𫣑 lổn nhổn
侖,lủn,侖𫃐 lủn mủn
腀,lồn,丐腀之勢？ cái lồn gì thế?
瀨,lởn,瀨湲 lởn vởn
㑝,lóng,㗂㑝 tiếng lóng
𬊊,lóng,𬊊𪸝 lóng lánh
𬊊,nhóng,𬊊𪸝 nhóng nhánh
𢃈,lọng,"傘𢃈 tàn lọng
𢂎𢃈 dù lọng"
𭍌,lổng,"𭍌偅 lổng chổng
𡃔𭍌 lêu lổng"
弄,LỘNG,"弄權 lộng quyền
[翻]"
弄,lụng,𫜵弄 làm lụng
弄,róng,𦄃弄 riết róng
苙,lóp,"苙𥼕 lóp lép
[翻]"
𡂏,lộp,"𡂏𠶙 lộp bộp
𡂏𠺻 lộp cộp"
菈,lợp,"菈茹 lợp nhà
菈𢃱 lợp mũ"
葎,lốt,"蘿葎 lá lốt
𧋻𠊝葎 rắn thay lốt
𤢿戴葎裘 sói đội lốt cừu"
𣼷,lớt,𣼷咈 lớt phớt
罏,lu,"罏渃 lu nước
丐罏 cái lu
()"
婁,lủ,婁苦瀘傴 lủ khủ lù khù
瀘,lù,"瀘瀘 lù lù
瀘𣭃 lù xù
[翻]()"
攎,lư,"扐攎 lắc lư
()"
㾔,lử,㾔此㾔𤶠 lử thử lử thừ
𡃖,lừ,"𡃖啹 lừ khừ
𡃖𣴙 lừ đừ
𡃖眜 lừ mắt
𤻻𡃖 mệt lừ
𤮾𡃖 ngọt lừ"
泐,lự,𠊛泐 người Lự
摟,lùa,"摟𠓨 lùa vào
摟畜物散𠖾徠 lùa súc vật tản mát lại"
𫄎,lụa,"𫄎紋 lụa vân
()"
𬐸,lừa,"𬐸倒 lừa đảo
打𬐸 đánh lừa
𬐸漉 lừa lọc
𬐸嚉 lừa dối
()"
呂,lữa,吝呂 lần lữa
呂,rứa,呂呂 rưa rứa
呂,rưa,"呂呂 rưa rứa
⇔呂rứa"
綸,LUÂN,經綸 kinh luân
綸,luấn,綸𦄄 luấn quấn
𩺮,lục,𩵜𩺮 cá lục
𫦨,lức,"𥽌𫦨 gạo lức
𦹳𫦨 thơm lức"
𤈞,lùi,𤈞𧃷 lùi khoai
𤈞,nhùi,裴𤈞 bùi nhùi
𥟹,lụi,"殘𥟹 tàn lụi
𥟹敗 lụi bại
𥟹𢷴 lụi cụi
𥟹𩵜 lụi cá"
𮎫,lụi,𣘃𮎫 cây lụi
壘,LUỸ,"戰壘 chiến luỹ
障壘 chướng luỹ
營壘 dinh luỹ
屯壘 đồn luỹ
壕壘 hào luỹ
城壘 thành luỹ"
𡄁,lúm,"𡄁銅錢 lúm đồng tiền
[翻]"
菻,lùm,"菻𣘃 lùm cây
𣹓菻 đầy lùm
菻菻 lùm lùm"
菻,răm,蔞菻 rau răm
𣼍,lún,"𣼍𬺗 lún xuống
泏𣼍 sụt lún
𣼍濆 lún phún
[翻]"
𠍓,lùn,𠍓隰 lùn thấp
竉,lủng,"竉㥄 lủng lẳng
竉栱 lủng củng
竉𠬠𡊲 lủng một chỗ
()"
蘢,lùng,"𦹯蘢 cỏ lùng
()"
朗,lững,朗賞 lững thững
朗,rảng,朗朗 rang rảng
朗,rang,"朗朗 rang rảng
⇔朗rảng"
𤊒,luộc,"𤊒𤇪 luộc chín
𤊒蔞 luộc rau"
懢,luộm,懢愖 luộm thuộm
㫻,luôn,"㫻㫻 luôn luôn
[異]連掄輪嗹"
掄,luồn,掄攊 luồn lách
掄,lòn,
𧐖,lươn,"𡥵𧐖 con lươn
𧐖瞭 lươn lẹo"
𫅤,lượn,"𢒎𫅤 bay lượn
𢂎𫅤 dù lượn
捥𫅤 uốn lượn
𫅤矑 lượn lờ"
隴,luống,"隴蔞 luống rau
隴㤮 luống cuống
()"
嚨,luồng,"嚨渃 luồng nước
嚨𩙍 luồng gió
()"
梁,LƯƠNG,梁棟 lương đống
魎,LƯỢNG,魑魅魍魎 si mị võng lượng
𦂻,luốt,剟𦂻 tuốt luốt
𧙀,lúp,"鏡𧙀 kính lúp
[翻]"
㡴,lụp,"㡴䉅 lụp xụp
㡴𠌷 lụp chụp
㡴芣 lụp bụp"
茟,lút,茟頭 lút đầu
硫,LƯU,硫黃 lưu hoàng
𡏢,mả,"𣒵𡏢 cải mả
墓𡏢 mồ mả
改𡏢 cải mả"
罵,MẠ,"辱罵 nhục mạ
凌罵 lăng mạ"
𥢂,mạ,穭𥢂 lúa mạ
𨬈,mạ,𨬈鐄 mạ vàng
𬡶,mặc,"𬡶襖 mặc áo
咹𬡶 ăn mặc"
𠼽,mách,𠼽𣱾 mách lẻo
𠼽,méc,
𬏽,mải,"𬏽篾 mải miết
𬏽迷 mải mê"
𫡠,mãi,"𫡠𫡠 mãi mãi
[異]買"
䁲,mại,眜固䁲 mắt có mại
𫙽,mại,"𩵜𫙽 cá mại
()"
𡮳,mảy,"𡮳𠶣 mảy may
𠬠𡮳 một mảy"
𢵯,máy,"𢵯眜 máy mắt
𢵯𢬣 máy tay"
𩄲,mây,"𩙍𩄲 gió mây
𩄲黰 mây đen
[翻]"
𫂗,mây,行𫂗𥯌撣 hàng mây tre đan
𣎊,mẩy,"籺𣎊 hạt mẩy
𣎊䏧𣎊𬚸 mẩy da mẩy thịt"
𨊋,mẩy,𨉟𨊋 mình mẩy
𡕩,măm,"𠴊𡕩 Rơ Măm
[翻]"
鎫,mâm,"鎫𩚵 mâm cơm
鎫𥸷 mâm xôi
鎫鍮 mâm thau"
𢠧,mẩm,𢡠𢠧 chắc mẩm
𢠧,mèm,"醝𢠧 say mèm
𫇰𢠧 cũ mèm"
蔓,mạn,茶蔓 chè mạn
蔓,mởn,"蔓蔓 mơn mởn
𬏇蔞青蔓 ruộng rau xanh mởn"
蔓,mơn,"蔓蔓 mơn mởn
⇔蔓mởn"
𫇞,mạn,𫇞船 mạn thuyền
抿,mân,"抿𢺀 mân mó
抿迷 mân mê"
𢠨,mẩn,迷𢠨 mê mẩn
緍,mấn,𢃱緍 mũ mấn
緍,mân,
㨉,mần,"㨉役 mần việc
頻㨉 tần mần"
槾,mận,"𣘃槾 cây mận
槾桃 mận đào"
忙,MANG,慌忙 hoang mang
𤞽,mang,𡥵𤞽𡥵狔 con mang con nai
莽,mảng,"莽䏧 mảng da
莽𦖑 mảng nghe
莽悁 mảng quên"
𠴏,máng,𠴏𠴏 mang máng
𠴏,mang,"𠴏𠴏 mang máng
⇔𠴏máng"
𣙷,máng,"𣙷渃 máng nước
𣙷㵊 máng xối"
杧,mãng,𣘃杧球 cây mãng cầu
蟒,MÃNG,"蟒蛇 mãng xà
襖蟒 áo mãng"
笀,măng,"笀西 măng tây
𢫚笀 xáo măng
嗤笀 xi-măng
[翻]"
𩷶,măng,𩵜𩷶 cá măng
𠻵,mắng,"𠯦𠻵 thét mắng
𠻵𠲔 mắng nhiếc
𠯽𠻵 chửi mắng
𠻵𠯽 mắng chửi
聒𠻵 quát mắng"
𬔽,mánh,"𬔽𥉯 mánh khoé
𬔽𭇶 mánh lới"
𢅆,mành,"𢅆𢅆 mành mành
船𢅆 thuyền mành"
𫙍,mãnh,翁𫙍 ông mãnh
旄,MAO,旗旄 cờ mao
𦙤,mào,𢵱𦙤 khơi mào
卯,MÃO,"𣇞卯 giờ Mão
辛卯 Tân Mão"
卯,mẻo,𤘁卯 mỏng mẻo
䏜,mạp,𦚖䏜 mập mạp
䏜,mọp,跪䏜𬺗 quỳ mọp xuống
𠸾,mấp,𠸾塻 mấp mô
𬟼,mát,𡥵𬟼 con mát (mạt)
𬟼,mạt,𬟼𪃿 mạt gà
末,MẠT,"末劫 mạt kiếp
末項 mạt hạng
𱞁末 rẻ mạt
[翻]"
抹,MẠT,抹殺 mạt sát
牟,MÂU,"釋迦牟尼 Thích Ca Mâu Ni
[翻]"
牟,MƯU,"牟利 mưu lợi
[翻]"
𠇩,mẩu,"𠇩餅麪 mẩu bánh mì
𠄩𠇩信 hai mẩu tin"
𥭏,mấu,𥭏𢱝 mấu chốt
母,MẪU,"父母 phụ mẫu
母親 mẫu thân
韻母 vận mẫu
保母 bảo mẫu
道母 Đạo Mẫu
母后 mẫu hậu"
茂,MẬU,茂才 mậu tài
楣,me,𣘃楣 cây me
𠝫,mẻ,"𠿰𠝫 sứt mẻ
鉢𠝫 bát mẻ"
渼,mẻ,"𠬠渼㧾袞 một mẻ hốt gọn
𠖾渼 mát mẻ
[異]𡎤"
𥻙,mẻ,𩚵𥻙 cơm mẻ
𠩕,mé,"𪜻𠩕 xếch mé
邊𠩕債 bên mé trái"
𩹪,mè,𩵜𩹪 cá mè
𫃎,mè,"油𫃎 dầu mè
𪉥𫃎 muối mè"
𭩽,mè,榱𭩽 rui mè
米,MỄ,米西基 Mễ Tây Cơ
米,mễ,禮米 lễ mễ
𥊋,mếch,"𥊋𢚸 mếch lòng
[翻]"
䟨,men,䟨蹺 men theo
𥾃,men,"𥾃𨢇 men rượu
()"
鏝,mèn,"鐘鏝 chuông mèn
咖鏝 cà- mèn"
𧓭,mèn,𧍝𧓭 dế mèn
渵,meo,"霂渵 mốc meo
𬨠渵 lên meo
渵渵 meo meo"
𮘃,mẹo,謀𮘃 mưu mẹo
𥬎,mẹt,"丐𥬎 cái mẹt
𩈘𥬎 mặt mẹt"
瀎,met,"其露瀎 kí(ki)-lô-mét
[翻]"
𠴕,mếu,"𠴕𠴕 mếu mếu
𠴕𠰭 mếu máo"
魅,MỊ,魑魅魍魎 si mị võng lượng
𠸍,mỉa,𠸍枚 mỉa mai
𣖙,mía,"𣘃𣖙 cây mía
梇𣖙 gióng mía"
寞,MỊCH,"寂寞 tịch mịch
靜寞 tĩnh mịch
寞寞 mịch mịch
[翻]"
謐,MỊCH,靜謐 tĩnh mịch
緬,MIẾN,緬甸 Miến Điện
冕,MIỆN,𢃱冕 mũ miện
𠰳,miếng,𠰳咹 miếng ăn
𨬋,miếng,鐄𨬋 vàng miếng
篾,miết,𬏽篾 mải miết
廟,MIẾU,"文廟 văn miếu
殿廟 đền miếu
宗廟 tông miếu
廟貌 miếu mạo"
廟,miễu,"𡾵廟 ngôi miễu
丐廟 cái miễu"
廟,míu,縸廟 mắc míu
媌,miều,美媌 mĩ miều
𠻦,mím,𠻦腜 mím môi
𠻦,móm,𠻦𠹰 móm mém
俛,mĩm,俛腜 mĩm môi
㒙,min,劫𤯩𫯳㒙𠫾耒 cướp sống chồng min đi rồi
姄,mìn,"媄姄 mẹ mìn
姄絻 mìn mịn"
䂥,mìn,𢱛䂥 rải mìn
絻,mịn,"絻芒 mịn màng
[翻]"
螟,MINH,螟蛉 minh linh
㕨,míp,"䏎㕨 múp míp
[翻]"
櫗,mít,"𣘃櫗 cây mít
𠻨櫗 kín mít
櫗𭉪 mít đặc
𠾼櫗 tịt mít"
喵,miu,
𧄲,mo,"𧄲榔 mo nang
𩈘𧄲 mặt mo
𧄲槹 mo cau
偨𧄲 thầy mo"
㖼,mỏ,獸㖼𩿠 thú mỏ vịt
𡮘,mỏ,𥘷𡮘 trẻ mỏ
𧉦,mò,塢𪃿固𧉦 ổ gà có mò
𤑮,mò,𤑮𤆺 mò hóng
𫂋,mõ,"打𫂋 đánh mõ
丐𫂋 cái mõ
𫂋𥯌 mõ tre"
麽,mô,𠫾麽 đi mô
𧜗,mớ,"縸𧜗 mắc mớ
𠬠𧜗役 một mớ việc
𤾓𠦳萬𧜗抵𠓨兜 trăm nghìn vạn mớ để vào đâu"
𧪨,mớ,"𥄬𧪨 ngủ mớ
吶𧪨 nói mớ"
𫲎,mợ,舅𫲎 cậu mợ
莯,móc,𣘃莯 cây móc
𦙣,mọc,𥻸𦙣 bún mọc
𡉿,mốc,"𤀔霂 ẩm mốc
霂渵 mốc meo
𬨠霂 lên mốc"
霂,mốc,"榾𡉿 cột mốc
𡉿界 mốc giới
㩒𡉿 cắm mốc"
霂,mông,"霂霂 mông mốc
⇔霂mốc"
沐,MỘC,沐浴 mộc dục
挴,moi,挴𢪮 moi móc
痗,mỏi,"𤻻痗 mệt mỏi
痗𤷱 mỏi mòn"
𢪛,mói,"𤐝𢪛 soi mói
𫼳𢪛𠫾𥝽 mang mói đi cấy"
𩸳,mòi,𩵜𩸳 cá mòi
𪝅,mòi,"䁛𪝅 coi mòi
𪉽𪝅 mặn mòi
椎𪝅 chòi mòi"
莓,môi,烏莓 ô môi
楳,môi,丐楳 cái môi
䗋,mối,"𩵜䗋 cá mối
𧋻䗋 rắn mối"
烸,mồi,烸焒 mồi lửa
𡼇,mỏm,"𡼇𡶀 mỏm núi
𡼇𡐙 mỏm đất
𡼇𡾫 mỏm đồi"
𡂅,mõm,"𡂅㹥 mõm chó
𡂅馭 mõm ngựa
𤇪𡂅 chín mõm"
𣼺,mớm,"咘𣼺 bú mớm
𣼺𣷱 mớm sữa"
𬦢󠄁,mon,𬦢󠄁䟨 mon men
菛,môn,𧃷菛 khoai môn
𢺳,mơn,"𢺳𡥵 mơn con
𢺳磌 mơn trớn
()"
蠓,mòng,𧋟蠓 muỗi mòng
䴌,mòng,"𪀄䴌 chim mòng
䴌𪆰 mòng két"
𭲿,mọng,"𢫮𭲿 căng mọng
𭲿渃 mọng nước
𤇪𭲿 chín mọng"
𭲿,mòng,"𭲿𭲿 mòng mọng
⇔𭲿mọng"
蒙,MÔNG,"蒙古 mông cổ
[翻]"
濛,mông,溟濛 mênh mông
䑅,mông,䑅𦝂 mông đít
冡,mồng,冡𪃿 mồng gà
冡,mùng,
𤛔,mộng,𤛠𤛔 trâu mộng
漞,móp,"漞𠵐 móp mép
漞𠓨 móp vào
[翻]"
㩢,mót,"𢹦㩢 lượm mót
㩢抇 mót nhặt
㩢穭 mót lúa
㩢瀻 mót đái"
蠛,mọt,"𡥵蠛 con mọt
螻蠛 sâu mọt"
𤪶,mu,"𤪶𧒍 mu rùa
𩩫𤪶 xương mu"
湈,mủ,"𧖱湈 máu mủ
剛湈 cương mủ"
𩹮,mú,𩵜𩹮 cá mú
嗎,mửa,"𠷀嗎 nôn mửa
𣾿嗎 ói mửa"
傌,mứa,"𠬃傌 bỏ mứa
剩傌 thừa mứa"
